Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
"IMPLEMENTASI SEGMENTASI PEMBULUH DARAH RETINA PADA CITRA FUNDUS MATA MENGGUNAKAN
LAPLACIAN OF GAUSSIAN",Penulis : Nurdiah Okvitasari,"Dosen Pembimbing I : Dr. Arif Muntasa, S. Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S., S. Kom, M.Kom","Teknologi di dunia kedokteran semakin berkembang. Hal tersebut memudahkan untuk mendeteksi penyakit pada manusia termasuk penyakit diabetes. Penyakit diabetes menyebabkan permasalahan pada mata yang disebut juga dengan  Diabetic Retinopathy. Untuk mendeteksi penyakit tersebut, tahap awal yang dilakukan adalah dengan melakukan segmentasi pada pembuluh darah. Penelitian ini menerapkan Laplacian of Gaussian sebagai metode segmentasi. Terbagi tiga proses utama antara lain preprocessing, segmentasi, dan perbaikan citra setelah proses segmentasi. Tahap pertama adalah preprocessing, yaitu mengambil citra green channel, dan memperbaiki kontras citra dengan Contrast Limited Adaptive Histogram Equalization (CLAHE). Tahap kedua adalah segmentasi dengan Laplacian of Gaussian. Laplacian of Gaussian mempunyai dua parameter, yaitu koordinat (x,y) dan variansi. Hasil dari Laplacian of Gaussian adalah matrik mask yang digunakan untuk mengkonvolusi citra. Tahap ketiga  dilakukan proses noise removal, overlapping mask, operasi morfologi dilasi dan field of view removal. Hasilnya dibandingkan dengan citra groundtruth untuk menghitung tingkat akurasi. Pengujian dilakukan pada database Digital Retinal Images for Vessel Extraction (DRIVE) sebanyak 20 citra. Hasil citra segmentasi dibandingkan dengan citra groundtruth. Akurasi dengan hasil terbaik sebesar 88,88 % dan 79,29 % untuk akurasi terendah. Rata-rata akurasi sebesar 85,53 %. Citra yang dihasilkan dari segmentasi cukup baik sehingga metode Laplacian of Gaussian mampu melakukan segmentasi dengan baik."
OPTIMALISASI SEGMENTASI PEMBULUH DARAH RETINA PADA CITRA FUNDUS MATA BERWARNA MENGGUNAKAN MATRIK MASK OVERLAPPING,Penulis : NUR ZUHROH,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S., S.Kom., M.Kom.","Diabetic retinopathy merupakan salah satu gangguan pada mata akibat penyakit diabetes. Tanpa adanya penanganan dini gejala ini dapat mengakibatkan kebutaan. Diabetic retinopathy ditandai dengan kerusakan pembuluh darah retina sehingga mengalami kebocoran yang menimbulkan penumpukan cairan. Untuk mengetahui gejala penyakit ini perlu adanya pengecekkan pada mata yang terdapat penyakit berupa cairan exudates. Untuk mengecek penyakit terlebih dahulu harus melakukan ekstraksi pada pembuluh retina. Pada penelitian ini dilakukan segmentasi pembuluh darah retina dengan metode yang terdiri dari dua tahap pada proses segmentasi fundus mata. Tahap pertama adalah preprocessing untuk menghilangkan noise dengan 2D-Gaussian Low Pass Filtering (2D-GLPF) dan meningkatkan kualitas penajaman citra menggunakan Adaptive Histogram Equalization (AHE). Tahap segmentasi dengan transformasi Bottom-Hat dan menghapus tepi retina dengan Mask Overlapping selanjutnya dilakukan perhitungan tingkat akurasi citra hasil segmentasi dengan citra Ground Thruth. Pengujian dilakukan pada database Digital Retinal Images for Vessel Extraction (DRIVE) sebanyak 20 citra. Metode Matrik Mask Overlapping mampu mensegmentasi dengan baik dibuktikan pada hasil akurasi segmentasi dibandingkan dengan citra Ground Truth sebesar 87,09%.
Kata kunci: Segmentasi, Matrik Mask Overlapping dan 2D-Gaussian Low Pass Filtering (2D-GLPF)."
PERBANDINGAN METODE SELF ORGANIZING MAPS (SOM) DENGAN PEMBOBOTAN BERBASIS RADIAL BASIS FUNCTION (RBF),Penulis : Rafil Tania Rizkillah,"Dosen Pembimbing I : Andharini Dwi Cahyani,S.Kom.,M.Kom","Dosen Pembimbing II :Bain Khusnul Khotimah,ST.,M.Kom","Pada sistem clustering banyak metode yang digunakan untuk cluter-isasi, salah satunya adalah SOM (Self Organizing Maps). Dalam penelitian kami menggunakan 2 pendekatan. Pendekatan yang pertama adalah peng-cluster-an menggunakan SOM-RBF yang digunakan pada pelatihan data dan diduga dapat menghasilkan cluster yang lebih baik. Dan pendekatan kedua peng-cluster-an menggunakan SOM.
	Perbandingan kedua metode didasarkan pada penerapan pada data yang berasal dari dataset situs movielens.org. Penilaian perbandingan menggunakan 3 skenario, yaitu MSE sebagai kondisi stop terhadap running time, MSE  sebagai kondisi stop terhadap epoch dan learning rate, dan MSE  sebagai kondisi stop terhadap nilai MSE  yang sebenarnya. Dimana dengan running time tersebut terdeteksi pendekatan manakah yang lebih cepat rentang waktunya untuk mengekstraksi data latih.
	Berdasarkan hasil uji coba yang dilakukan menggunakan 500 data, yang diterapkan pada 3 dan 4 cluster menghasilkan kesimpulan bahwa pendekatan pertama mempunyai nilai MSE sebenarnya yang lebih mendekati nilai absolut MSE dibandingkan dengan pendekatan kedua."
Rancang Bangun Game Lost Bullrace Menggunakan Metode Finite State Machine (FSM),Penulis : Retno Wulan,"Dosen Pembimbing I : Arik Kurniawati, S.Kom., M.T.","Dosen Pembimbing II :Andharini Dwi Cahyani, S.Kom., M.Kom.","Madura pulau di Indonesia lepas pantai timur laut Jawa yang dikenal sebagai pulau yang memiliki kekayaan budaya yang banyak, beragam dan sangat bernilai. Salah satu budaya Madura yang sangat terkenal hingga manca negara adalah Karapan Sapi. Kerapan Sapi  ini merupakan perlombaan pacuan sepasang sapi yang menarik semacam kereta dari kayu tempat joki berdiri dan mengendalikan jalan sapi dengan cepat dengan diiringi lagu Madura yang disebut saronen. Sapi akan berlari dengan energik yang dikendalikan oleh joki dengan memecut sapi karapan. Seiring dengan berkembangnya teknologi maka diciptakan game yang mengangkat budaya Madura yaitu Karapan Sapi. Game ini dibangun menyerupai dengan game Subway Surfers dengan genre arcade and action dengan grafis 2 dimensi dimana pemain sebagai sapi karapan harus dapat menghindari kejaran sakera. Pengembangan ini didukung dengan metode Finite State Machine (FSM) yang digunakan untuk membantu pemilihan keputusan bergerak untuk karakter sapi dan melakukan pemecahan behaviour (kebiasaan aturan main) dari objek berdasarkan state (keadaan) yang memiliki aturan masing-masing, sehingga dapat merubah state satu ke state yang lain. Perancangan game ini bertujuan untuk mengenalkan Karapan Sapi sebagai budaya Madura pada manca negara dengan menggunakan inovasi berupa game. Selain itu bertujuan untuk menghibur pemain dengan berbagai variasi hiburan, diantaranya skenario dan tampilan grafis yang menarik. 

Kata kunci: kerapan sapi, game, FSM"
SEGMENTASI PEMBULUH DARAH RETINA PADA CITRA FUNDUS MATA BERBASIS SKELETON DAN PRUNNING,Penulis : TRI INDAH KARTIKASARI,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S., S.Kom., M.Kom.","Panca indra pada manusia sangat rentan terhadap penyakit terutama pada indra pengelihatan yaitu mata. Beberapa penyakit yang dapat teridentifikasi pada organ mata salah satunya adalah penyakit mata diabetes atau Diabetic Retinopathy (DR). Indikasi penyakit Diabetic Retinopathy (DR) berupa ketidaknormalan mata yang ditandai dengan gangguan kerusakan pembuluh darah kapiler pada jaringan yang berfungsi sebagai sensor cahaya (retina). Pendeteksian yang dilakukan sejak dini dapat memberikan tindakan perawatan yang sesuai. Oleh sebab itu, identifikasi ketidaknormalan pembuluh darah dapat dilakukan dengan cara segmentasi yang merupakan langkah untuk memudahkan penelitian karakteristik pembuluh darah retina dengan penyediaan pemetaan. Pada penelitian Tugas Akhir ini, segmentasi pembuluh darah retina terdiri dari dua tahap, yaitu preprocessing dan segmentasi. Tahap pertama preprocessing citra dilakukan dengan mengambil citra RGB (Red, Green, Blue) ke Green Channel, memperbaiki kontras citra dengan Contrast limited Histogram Equalization (CLAHE), dan untuk menghilangkan noise dengan median filter. Tahap kedua segmentasi citra dilakukan dengan Morphological Skeleton citra, Pruning citra dan dilasi. Selanjutnya dilakukan perhitungan tingkat akurasi dengan Ground Truth-nya. Pengujian menggunakan database DRIVE (Digital Retinal Image for Vessel Extraction) sebanyak 20 citra. Metode Skeleton dan Prunning mampu mensegmentasi dengan baik yang dibuktikan dengan hasil akurasi segmentasi dibandingkan dengan citra Ground Truth sebesar 86,96%.
Kata kunci: Segmentasi pembuluh darah retina, Sekeleton,"
Penerapan Metode Fuzzy Item Response Theory Pada E-Learning Computerized Adaptive Test (CAT),Penulis : DIAH KUSUMAWATI,"Dosen Pembimbing I : Andharini Dwi Cahyani S.Kom, M.Kom","Dosen Pembimbing II :Muhammad Fuad S.Kom.,M.T.","Saat ini e-Learning sudah banyak diterima oleh  masyarakat dunia, terbukti dengan maraknya implementasi e-Learning di lembaga pendidikan maupun industri. E-Learning merupakan suatu jenis sistem pembelajaran yang memungkinkan sampainya bahan ajar ke siswa dengan menggunakan media internet, atau media jaringan komputer lain. Tes adaptif merupakan sistem ujian otomatis yang dilakukan secara adaptif, menyesuaikan tingkat kesulitan soal dengan kemampuan masing-masing peserta ujian. Soal yang diberikan tergantung dari jawaban soal sebelumnya: benar atau salah. Dan hasilnya adalah level atau tingkat kemampuan peserta ujian. Salah satu metode yang digunakan dalam tes adaptif yaitu model Fuzzy Item Response Theory (FIRT) yang diimplementasikan dalam pembuatan aplikasi tes adaptif untuk lingkungan pendidikan. Berdasarkan hasil eksperimen, dapat disimpulkan bahwa Adaptive Test yang dikembangkan dengan menerapkan Fuzzy Item Response Theory mampu menempatkan siswa pada tingkat kemampuan yang sesuai dengan kemampuannya, nilai siswa lebih meningkat dengan menggunakan Adaptive Test dibandingkan dengan Konvensional Test hal tersebut dibuktikan dengan uji coba yang telah dilakukan dengan melihat hasil dari rata-rata nilai tiap siswa. Nilai siswa yang menggunakan Adaptive Test hasilnya lebih meningkat dibandingkan dengan nilai siswa yang menggunakan Konvensional Test. Dari rata-rata nilai siswa yang menggunakan Adaptive Test yakni 80, sedangkan rata-rata nilai siswa yang menggunakan Konvensional Test yakni 60.882353."
Sistem FAQ Konsultasi Dokter Gigi Menggunakan Algoritma Winnowing dan Synonym Replacement,Penulis : Wildan Faizzani,"Dosen Pembimbing I : Fika Hastarita R. S.T.,M.Eng.","Dosen Pembimbing II :Firdaus Solihin, S.Kom.,M.Kom.","Kesehatan gigi amat penting bagi manusia, namun tidak semua orang masa kini memiliki waktu untuk pergi ke dokter gigi dalam rangka pencegahan penyakit gigi yang lebih kronis, akibatnya banyak orang mendatangi dokter gigi ketika keadaan giginya sudah rusak parah. Untuk menangani permasalahan ini, sangatlah tidak efisien untuk membangun aplikasi konsultasi konvensional. Mengingat jumlah pasien yang tidak sedikit dan kemungkinan terus bertambah kedepannya. Metode yang digunakan dalam penelitian ini adalah deteksi kemiripan dengan bantuan metode Winnowing dan didukung oleh Synonym Replacement. Dengan penyusunan FAQ dalam penerapannya menjadikan konsultasi akan semakin mudah. Uji coba dilakukan dengan menguji beberapa jenis Synonym Replacement dan diketahui melalui ujicoba Synonym Replacement Versi 4 yang terbaik untuk membantu pendeteksian dengan peningkatan angka deteksi sebesar 40% dibandingkan tanpa Synonym Replacement, serta dengan merubah konstanta algoritma Winnowing dan diketahui pula bahwa konstanta prime = 7, n-gram dan n-window = 3 adalah yang terbaik untuk deteksi kalimat, dengan angka deteksi mencapai 58%."
SISTEM PENGUKURAN KINERJA UKM DENGAN MENGGUNAKAN METODE BALANCE SCORECARD,Penulis : Moh. Zein Saedi,"Dosen Pembimbing I : Bain Khusnul Khotimah, S.T. M.Kom.","Dosen Pembimbing II :Andharini Dwi Cahyani, S.Kom.,M.Kom","Pada tingkat persaingan global yang sangat kompetitif, setiap UKM memerlukan suatu sistem pengukuran kinerja yang dapat diukur secara periodik dan terarah. Sistem ini digunakan untuk melihat sejauh mana perkembangan dari UKM dan mengukur kinerja UKM yang satu dengan UKM yang lainnya. Dalam metode penilaian kinerja perusahaan umumnya menggunakan financial perspective. Dalam penelitian ini peneliti menggunakan metode Balance Scorecard. Metode ini merupakan pengembangan dari pengukuran kinerja secara tradisional yakni  pengukuran yang hanya di ukur pada perspektif keuangan saja. Metode Balance Scorecard ini, menggunakan empat perspektif, yakni Perspektif Keuangan, Perspektif Pelanggan, Perspektif Proses Bisnis Internal, dan Perspektif Pertumbuhan dan Pembelajaran. Dalam penelitian ini juga menggunakan Analytical Hierarchy Process (AHP) sebagai sistem pendukung keputusan. Metode ini digunakan untuk merepresentasikan suatu permasalahan yang kompleks kedalam struktur multi level hirarki. Dalam penelitian ini perusahaan yang menjadi objek penelitian adalah Usaha Kecil Menengah (UKM) di daerah bangkalan, yaitu UKM Nusa Indah, UKM HMF/HJ.UNYIL, dan UKM Al-Madani. Dari hasil penelitian ini diperoleh tingkat kinerja yang paling dominan adalah UKM Nusa Indah dengan nilai kinerja 3,34 sedangkan tingkat kinerja UKM yang paling lemah adalah UKM Al-Madani dengan nilai kinerja 1,72.

Kata kunci : Sistem Pengukuran Kinerja, Usaha Kecil Menengah (UKM), Balance Scorecard, Analytical Hierarchy Process"
RANCANG BANGUN SISTEM UJIAN ONLINE DI SEKOLAH MENENGAH ATAS NEGERI 2 LAMONGAN,Penulis : Erina Adikusuma,"Dosen Pembimbing I : Andharini Dwi Cahyani, S.Kom.,M.Kom","Dosen Pembimbing II :Moch. Kautsar Sophan, S.Kom., M.MT","Sistem ujian konvensional yang sering digunakan dalam kegiatan akademik sering kali menemui kendala. Faktor penilaian dan kecurangan merupakan kendala yang paling sering ditemui. Namun seiring dengan berkembangnya teknologi informasi, ujian konvensional bergeser menjadi sistem ujian online. Ujian online merupakan ujian yang dilakukan dengan alat bantu komputer. Tujuan dari pembuatan sistem ujian online ini yaitu dapat memudahkan guru untuk mengoreksi ujian serta mengefisiensi waktu dengan hasil ujian yang objektif. Dengan adanya sistem ujian online ini, maka akan memudahkan guru dalam memberikan soal-soal ujian kepada para siswanya dan menghasilkan nilai secara cepat dan mudah. Penilaian ujian juga dapat dilakukan secara efektif dan efisien karena dapat dilakukan oleh sistem secara otomatis. Selain itu dengan sistem ujian online juga dapat mengurangi biaya penyediaan bahan ujian karena dengan sistem ujian online ini dapat membantu mengurangi penggunaan kertas yang digunakan untuk mencetak soal ujian. Dalam sistem ini ada 3 tingkat pengguna yaitu Administrator, Guru dan Siswa. Ada 3 jenis pertanyaan yaitu Pilihan Ganda, Jawaban Ganda dan Benar/Salah. Pada sistem ini soal akan tampil secara acak, hal ini untuk meminimalisir tingkat kecurangan siswa dalam mengerjakan soal ujian. Dengan adanya sistem ujian online ini dapat membantu proses pengolahan data soal ujian dan data nilai siswa.

Kata Kunci : Computer Based Tes , ujian, ujian online."
PENGELOMPOKKAN KECAMATAN BERDASARKAN INDIKATOR PENDIDIKAN MENGGUNAKAN METODE SELF ORGANIZING MAP (SOM) DI KABUPATEN LAMONGAN,Penulis : Mifftachul Afiffaturrohmah,"Dosen Pembimbing I : Bain Khusnul K. ST., M.Kom","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom","Pemerintah daerah selaku pengelola pendidikan memerlukan informasi mengenai kondisi pendidikan di wilayahnya, untuk membuat perencanaan dan kebijakan yang sesuai mengenai perluasan dan pemerataan pendidikan. Pengetahuan mengenai informasi pemerataan pendidikan diperlukan untuk pengelompokan Kecamatan berdasarkan indikator pemerataan pendidikan. Pengelompokan (clustering) merupakan salah satu metode data mining yang membagi data ke dalam kelompok â kelompok yang mempunyai objek yang karakteristiknya sama. Salah satu metode clustering adalah Self organizing map (SOM). Pada penelitian ini, akan mengelompokkan kecamatan yang ada di Kabupaten Lamongan menjadi 3 cluster dengan 23 variabel indikator pemerataan pendidikan. Pada uji coba yang telah dilakukan menggunakan 10 iterasi dengan masing-masing learning rate sebesar 0.6, 0.8 dari keseluruhan skenario yang telah dilakukan menghasilkan jumlah anggota cluster dan analisis cluster yang berbeda-beda, hal ini dipengaruhi oleh nilai awal iterasi dengan nilai random.

Kata Kunci: clustering, indikator pemerataan pendidikan, Self Organizing Map (SOM)."
RANCANG BANGUN GUI INTRUSION PREVENTION SYSTEM (IPS) SURICATA,Penulis : Arif Rahman Hakim,Dosen Pembimbing I : Dwi Kuswanto,Dosen Pembimbing II :Iwan Santosa,"Keamanan  pada  sebuah  jaringan  komputer  merupakan  salah  satu  hal  yang  sangat  penting. 
Perkembangan  teknologi  memberikan  dampak  terhadap  keamanan  jaringan  komputer  yaitu 
dengan maraknya penyusupan pada jaringan komputer. Hal ini dapat mengancam terhadap data 
penting  akibat  dari  ulah  orang  yang  tidak  bertanggung  jawab.  Untuk  menjaga  kerahasiaan 
keaslian  dan  ketersediaan  data  tersebut,  diperlukan  suatu  sistem  untuk  mendeteksi  adanya 
penyusupan pada jaringan komputer dan dapat berjalan secara real time.  Intrusion Prevention 
System (IPS) adalah sebuah sistem yang dapat memonitor jaringan dan dapat memberikan suatu 
tindakan  tertentu  pada  jaringan  komputer  tersebut.  IPS  merupakan  perkembangan  dari  IDS 
dimana  pada  IPS  ini  menggunakan  Suricata  sebagai  pendeteksi  penyusup  dan  dikoneksikan 
dengan  IPTables  sebagai  pencegah  penyusupan.  IPS  ini  dilengkapi  dengan  tampilan  (GUI) 
untuk memudahkan admin dalam memantau jaringan dari tindakan penyusupan kepada server. 
Suricata membuat alert ketika terdeteksi adanya penyusupan pada jaringan dan disimpan pada 
file  log  Suricata.  Pada  saat  yang  sama  WebAdmin  menampilkan  dialog  alert  disertai  dengan 
bunyi  alarm  dan  memerintahkan  IPTables  untuk  memblokir  alamat  IP  yang  teridentifikasi 
sebagai penyusup, sehingga akses penyerang terhadap server terputus. Berdasarkan percobaan 
yang telah dilakukan sebanyak 50 kali, Suricata dan IPTables dapat bekerja secara optimal dan 
mampu mendeteksi serangan."
